Row Labels,Average of Humidity,Average of WindSpeed,Average of Temperature,Sum of PassingYards,Sum of FieldGoalsMade,Sum of RushingYards
202310102,24,0,29,92.1,0.2,95.2
202310103,35,0,27,145.1,0.5,47
202310106,22,1,26,162.7,0.3,49.1
202310108,19,0,24,83.3,0.5,90
202310110,35,0,22,133.1,0.2,51.5
202310114,20,0,26,163.8,0.1,46.4
202310116,20,1,24,169.1,0.2,61.4
202310120,19,1,25,182.5,0.3,31
202310121,35,1,25,171.5,0.5,49.1
202310122,26,1,30,177.6,1,46.2
202310123,35,0,25,87.9,0.2,66
202310124,20,1,25,132.7,0.8,88.6
202310128,35,1,25,159.6,0.4,69.8
202310129,26,1,29,245.3,0.6,93.6
202310130,24,1,28,157.4,0.6,55.2
202310135,35,0,26,117.9,0.6,56
202310201,87,2,100,550.1,3,278.5
202310202,64,8,78,388.8,5,295.5
202310204,50,2,64,459.9,2,238.4
202310205,52,4,61,389.8,5,234.6
202310207,62,2,69,459.9,3,244.4
202310209,73,4,90,425.8,6,198.3
202310210,63,5,72,608.2,4,244.4
202310211,100,4,64,652.3,2,184.2
202310213,70,6,91,612.2,3,178.4
202310215,100,3,83,521,4,175.4
202310221,52,3,60,481,2,233.3
202310226,40,9,61,558.1,2,287.7
202310228,44,4,52,457.9,4,253.4
202310232,62,10,72,514,6,248.4
202310233,74,10,86,529,3,187.3
202310234,57,2,71,552.1,5,202.4
202310301,25,0,27,125.3,0.4,100.4
202310303,29,0,19,122.7,0.5,82.6
202310307,13,0,18,151,0.5,31.9
202310308,16,1,19,112.4,0.3,8.3
202310311,17,1,21,127,0.4,28.5
202310312,18,1,20,132.5,0.2,22.1
202310315,21,0,25,160.6,0.3,42.8
202310316,14,0,20,108.6,0.3,62.9
202310319,19,1,25,195.1,0.2,114.3
202310320,29,1,20,234.8,0.1,32.1
202310324,29,1,18,102.4,0.3,44.5
202310325,19,0,22,159.9,0.3,40.2
202310330,29,0,17,187.9,0.6,44.1
202310331,15,0,17,127.9,0.4,39.4
202310333,29,1,23,121,0.3,63
202310335,29,1,18,110.9,0.3,64.7
202310404,53,3,62,562.9,1.7,229
202310405,62,5,76,320.7,1.7,202.3
202310406,59,4,76,521.7,0.9,250
202310408,61,6,69,287,0.9,208.7
202310409,72,5,80,456.2,3.5,163.7
202310412,42,3,52,426.4,3.4,221.8
202310413,78,11,86,414.7,4.3,235.6
202310414,66,3,73,485.3,2.6,277.2
202310415,52,8,64,372.1,2.6,215.9
202310422,62,14,80,360.9,4.3,171
202310423,51,2,60,351.5,1.8,216.9
202310424,48,6,61,418.9,3.5,290.9
202310426,59,3,67,569.5,4.4,197.2
202310429,50,5,62,378.6,1.8,215.7
202310431,48,3,62,512.4,0.9,212.5
202310434,67,2,80,380.4,2.6,228.8
202310501,132,3,165,830.3,5.9,411.5
202310502,74,15,110,1031.4,17.7,277.6
202310504,100,15,120,1158.6,3,388.1
202310510,108,12,127,679,20.7,641.2
